index,country_name
0,Ratchatevi
1,Siam_Su
2,Chitlom
3,Plenjit
4,Nana
5,Asok
6,Prompong
7,Field
8,Siam_Si
9,Saladang
10,Nontri
11,Samyan
12,Silom
13,Lumpini
14,Klongtoel
15,Sirikit
16,Sukumwit
17,Petchburi
